rev_id,page,country
516633096,List of politicians in Poland,Poland
550682925,Tingtingru,Vanuatu
627547024,Daud Arsala,Afghanistan
671484594,Bharat Saud,Nepal
684023803,Robert Sych,Poland
684023859,Marek Krzysztof Jeleniewski,Poland
698572327,Narayani Datt Chataut,Nepal
699260156,Mohammad Amjad,Pakistan
703773782,Gomez das Mariñas,Spain
706204833,Valerio De Los Benidos,Cuba
706810694,Kamlesh Arya,Fiji
709508670,Khaled Aghbariyya,Israel
710311600,Vladimir Shamakhov,Russia
711288191,Panu Laturi,Finland
711513274,Michel Ximenes,France
712411818,I Gede Sumantara Ady Pratama,Indonesia
712872338,Łukasz Kowalski,Poland
712872421,Blanka Olszewska,Poland
712872473,Janusz Jerzy Drozdalski,Poland
712872531,Piotr Michał Trzaska,Poland
712873183,Anna Teresa Piórkowska,Poland
712873308,Edward Ignacy Hartwich,Poland
712873386,Lech Andrzej Zagłoba-Zygler,Poland
712878000,Elżbieta Teresa Rusielewicz,Poland
712878267,Adam Wojciech Fórmaniak,Poland
712878343,Zbigniew Józef Sobociński,Poland
712878396,Bernadeta Aldona Różańska-Majchrzak,Poland
712881543,Jarosław Wenderlich,Poland
712881676,Ewa Joanna Starosta,Poland
712881741,Stanisław Grodzicki (politician),Poland
712881882,Tadeusz Mirosław Kondrusiewicz,Poland
712889562,Wojciech Hieronim Nowacki,Poland
712889594,Jacek Rosół,Poland
712889683,Tomasz Jan Rega,Poland
712889781,Marek Henryk Gralik,Poland
712889809,Michał Piotr Sztybel,Poland
712891291,Jacek Andrzej Bukowski,Poland
712891354,Kazimierz Drozd,Poland
712891378,Lech Stanisław Lewandowski,Poland
712891476,Felicja Gwincińska,Poland
713368646,Shah Seyyed Ali Kazemi,Iran
713381693,Diabete Aboubacar Siriki,Ivorian
714352602,Fawzi al-Ghazzi,Syria
715273866,Armin Halitović,Bosnia-Herzegovina
715457941,James H. Stuart,Canada
715534283,Gissur Petersson,Iceland
715978328,Amirsho Miraliyev,Tajikistan
717536136,Nicole Gauthier,France
717917231,Patrick van Ypersele de Strihou,Belgium
717927381,Bakhtiar Mahmud Kasuri,Pakistan
719521006,Friedrich Peus,Germany
719581803,Talib Garingan Pawaki,Philippines
719981739,Guglielmo Rapinett,Malta
720054719,Christian Raster,Germany
720356159,Kimball–Snow–Woolley family,United States
720688837,Malak Zmarak Khan Mandokhail,Pakistan
720856841,Francis Phips,United Kingdom
720924221,Constantino Salinas,Spain
720953589,Gu Jinchi,China
720993927,Emil Ragazzini,Croatia
721509220,Max Adolf Richter,Germany
721856824,Lourdes Aranda,Mexico
724052271,David J. Reimer,Canada
726600165,Eistein Rajaonary,Madagascar
730950147,Mahesh Kumar Malani,Pakistan
734957625,Patrick Nwakamma Ottih,Cameroon
735966681,Woman's National Democratic Club,United States
736660951,Liam Mac an Ultaigh,Ireland
737123608,Alois Buttinger,Austria
738480520,Mgeni Jadi Kadika,Tanzania
738514517,Marcel Hatch,Canada
738984692,Rajabboy Norkallayev,Tajikistan
739115995,Valérie Dupont,France
743770874,Françoise Foning,Cameroon
744643166,Peter O'Brien (politician),Ireland
745915558,Mahmoud Karem,Egypt
747688056,Bia Venâncio,Brazil
747922835,Pat Bridson,Ireland
748601806,Leonardo Dudan,Croatia
749326717,Wanmelbu,Vanuatu
749389032,Éric Faurot,France
749546552,Bruno Subtil,France
749699147,Thierry Gourlot,France
749705073,Jean-Marc de Lacoste-Lareymondie,France
750849372,List of personal coats of arms of Presidents of Haiti,Haiti
754739349,Diyar Khan Yaqubi,Pakistan
756697478,Arthur Gregorian,Armenia
757313957,Marcelo Cerqueira,Brazil
757961591,Ahmad Balal,Pakistan
758706289,Saifuddin Bohra,Pakistan
760194556,Saleh Al Shal,United Arab Emirates
760195376,Josef Siegele,Austria
761821348,Nikolay Baranov (politician),Russia
762816132,Kalthouma Nguembang,Chad
763245610,Leonora Linter,Estonia
763558111,Elisha Shapiro,United States
764019224,Lennox Farrell,Canada
764191934,Francois Willie Cloete,South Africa
764911200,Obuobia Darko-Opoku,Ghana
765228329,Emmanuel Odoi Lartey,Ghana
765662083,Zeev Schwartz,Israel
765717347,Jeferson Moreira,Brazil
766101638,Giammarco Montanari,Italy
768013050,Muhammad Abdul Haque,Bangladesh
768871687,Rajat Majumdar,India
771213598,Sheikh Zakaria Ansari,Iran
771642775,Muhammad Yar Khan Mandokhail,Pakistan
773323473,Isaura Gomes,Cape Verde
773355081,Hari Bahadur Rai,Nepal
773601556,Viviana Piñeiro,Uruguay
774023957,Khaled Negm,Egypt
774293013,Phil Hobson,United Kingdom
777163201,John Palino,New Zealand
778388481,Larry Holmes (activist),United States
778618827,Debojeet Thaosen,India
779101752,Jacek Maciej Wenderlich,Poland
779135011,Mohamad Hamim Aliyas,Singapore
779954797,Chaudhry Zafar Iqbal Warraich,Pakistan
779957437,Rana Assad Amin,Pakistan
782170063,Batul Soltani,Iran
782508289,Marcia Dangremon,Brazil
783382630,Rose Sales,Brazil
786721553,Mariano Lazcano,Spain
787181453,Mian Fareed Abbas Kathia,Pakistan
787353922,Nihal Naj Ali Al-Awlaqi,Yemen
787391918,Abdolmajid Pirzadeh Jahromi,Iran
787398581,Abdul Latif Khalid Cheema,Pakistan
788037971,Thoraya Obaid,Saudi Arabia
788289620,Rahul Sinha,India
788310383,Mahesh Kumar,Pakistan
788722110,Vithal Chavan,India
788844423,Jaybahadur Hitan Magar,Nepal
789080627,Fernando Linera,Spain
789266166,Patrick Binder,France
789271422,Harald Haas (Pirate Party),Austria
789281061,Zhang Yuhuan,China
789285351,Saqib Idrees Taj,Pakistan
789285762,Hameeda Waheeduddin,Pakistan
789286413,Zheng Shekui,China
789444415,Prasanna Earnest,India
789736824,Chowdhary Balbir Singh,India
789816636,Arthur C. Watson,United States
790028876,Farouk Sharif,Philippines
790147995,Idoia Zenarrutzabeitia Beldarrain,Spain
791866288,Claybourn – Claiborne – Clayborn family,United States
792184018,N. Padmalochanan,India
792400552,Marko Selakovic,Serbia
792440851,Praveen Agrawal,India
792857662,Caleb Crosby,United States
792933603,Draft:John Johansson i Gränö,Sweden
793280504,Tibor Gaal de Hatvan,Hungary
794311724,Chukwuemeka Ihedioha,Nigeria
794409906,Gregorei Alexandrovich,Russia
794866848,List of Ghana heads of state by age,Ghana
794990759,Alfred Moungara Moussotsi,Gabon
795588781,Fraz Wahlah,Pakistan
796744496,Hovik Jivanyan,Armenia
796758810,Stanford Morse,United States
797311794,Dan Hilton,Canada
797902544,Volodymyr Manzhosov,Ukraine
798615865,Jesse Spikes,United States
798891126,Maria Hadjipavlou,Cyprus
798952867,Darcie Lanthier,Canada
799263010,V. Sadasivan,India
799540668,Mohd Eekmal Ahmad,Malaysia
799880073,Raja Muhammad Akbar Khan,Pakistan
799933274,Rich Eychaner,United States
800072571,Michael McInerney,Ireland
800144885,Craig Huey,United States
800299837,Donald Jeffrey Large,United States
800471126,Dragan Klaric,Sweden
800574730,Bashir Ahmed Sarki,Pakistan
800707821,Siddique Nazmul Alam,Bangladesh
801177435,Georges Sada,Iraq
801306872,Anwara Ali,United Kingdom
801536406,Secular and Nationalist Jinnah,Pakistan
801563949,Ambedkarism,India
801638735,Rashid bin Humaid Al Nuaimi (Ajman),United Arab Emirates
801696196,Abhijit Pandya,United Kingdom
801835819,Ouyang Xiu,China
802148439,Ali Asghar Khan (politician),Pakistan
802302246,List of politicians on Veep,United States
802445176,Daniel O'Neill (Royalist),Ireland
802475516,Ananda Syahendar Perdana,Indonesia
802515929,Ezatullah Mujahid,Afghanistan
802765034,Maciej Filip Zegarski,Poland
802904214,Bernard Binlin Dadié,Ivorian
802937732,Than Htay,Myanmar
803413615,Anatoliy Peshko,Ukraine
803484030,Kevin Hardwick,United States
803784385,David Sparrow,Canada
804057093,Iftikhar Ahmed (Swiss lawmaker),Switzerland
804118645,João Victor Guedes,Brazil
804158476,Kampa Borgoyary,India
804473605,Lucia Lucchesi-Ghiselli,Italy
804697858,Lib Peck,United Kingdom
804791599,Dudley–Winthrop family,United States
804941978,Larry A. Kaczala,United States
804945338,William M. Rainach,United States
804946658,David J. Dwork,United States
805031334,Ron Crickenberger,United States
805041930,Lav Grigorije Pajkić,Serbia
805211553,Richards–Young family,United States
805420467,Ian Axton,United Kingdom
805697623,Kamrul Hasan Nasim,Bangladesh
805788048,Political positions of Pat Buchanan,United States
805936041,Hossein Khan Movaghar,Iran
805993160,Valeriy Panasenko,Moldova
806030859,Edivaldo Holanda Júnior,Brazil
806179522,Rajah Alon,Philippines
806223655,Golam Mohammad Rabbani,Bangladesh
806372496,Mohammed Naguib,Egypt
806403304,Phillip Jackson,United States
806695084,Rajah Gambang,Philippines
806811023,Olajide Awosedo,Nigeria
807000274,William McMahon,Australia
807161510,Dirtbag Left,United States
807196681,Guy Georgias,Zimbabwe
807336308,John Rose (Trotskyist),United Kingdom
807367030,Jalal Movaghar,Iran
807367166,Mohsen Movaghar,Iran
807479587,King Gutierrez,Philippines
807484325,Ajay Kannoujiya,India
