page,country,rev_id,population,region,article_quality
Bir I of Kanem,Chad,355319463,16.877,AFRICA,Stub
Information Minister of the Palestinian National Authority,Palestinian Territory,393276188,5.008,ASIA,Stub
Yos Por,Cambodia,393822005,15.497,ASIA,Stub
Julius Gregr,Czech Republic,395521877,10.716,EUROPE,Stub
Edvard Gregr,Czech Republic,395526568,10.716,EUROPE,Stub
Robert Douglas Cook,Canada,401577829,38.19,NORTHERN AMERICA,Stub
List of Grand Viziers of Egypt,Egypt,442937236,100.803,AFRICA,Stub
Sehba Musharraf,Pakistan,448555418,220.94,ASIA,Stub
Butler-Belmont family,United States,470173494,329.87800000000004,NORTHERN AMERICA,Start
List of Canadian incumbents by year,Canada,477962574,38.19,NORTHERN AMERICA,Stub
Sheikh Sadiq Ali Ansari,India,492060822,1400.1,ASIA,Stub
Cayetano Pacana,Philippines,492964343,109.581,ASIA,Stub
Abdullah II of Kanem,Chad,498683267,16.877,AFRICA,Stub
Heard-Hawes family,United States,502721672,329.87800000000004,NORTHERN AMERICA,C
List of German politicians,Germany,521986779,83.3,EUROPE,Stub
Raspicious Dzanjalimodzi,Malawi,532253442,19.13,AFRICA,Stub
Manuel Antonio Blas Sáenz,Nicaragua,543225630,6.596,LATIN AMERICA AND THE CARIBBEAN,Stub
Béla Vörösmarty,Hungary,545936100,9.767000000000001,EUROPE,Stub
Presidents of the General Council of French Guiana,French Guiana,546364151,294.0,LATIN AMERICA AND THE CARIBBEAN,Start
Finn Sjue,Norway,549300521,5.3870000000000005,EUROPE,Stub
Russell family (American political family),United States,550953646,329.87800000000004,NORTHERN AMERICA,Stub
Maximo Suniel,Philippines,559553872,109.581,ASIA,Stub
Mihály Mikes (soldier),Hungary,559788982,9.767000000000001,EUROPE,Stub
The Man with the Chocolate Robe,Iran,560758943,84.15,ASIA,Stub
List of Malta Labour Party leaders,Malta,561744402,522.0,EUROPE,Stub
Marquis of Amboage,Spain,564873005,47.635,EUROPE,Stub
Salmama II of Kanem,Chad,565745353,16.877,AFRICA,Stub
Kuri I of Kanem,Chad,565745365,16.877,AFRICA,Stub
Mohammed I of Kanem,Chad,565745375,16.877,AFRICA,Stub
"List of members of the parliament of Malta, 2008–13",Malta,573710096,522.0,EUROPE,B
Samuel Nii Ayi Mankattah,Ghana,576988466,31.073,AFRICA,Stub
Hemed Khamis,Tanzania,585894477,59.733999999999995,AFRICA,Stub
Council of Ministers of Togo,Togo,595693452,8.279,AFRICA,Start
Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202,5.008,ASIA,Start
Abdullah Al Nuaimi (politician),United Arab Emirates,598819900,9.777999999999999,ASIA,Start
Zhang Zhenzhou,China,601122766,1402.385,ASIA,Stub
Feng Liao,China,601127343,1402.385,ASIA,Start
Wu Shihuo,China,614786300,1402.385,ASIA,Start
Kennedy Kiliku,Kenya,623004627,53.528,AFRICA,Stub
Kamu de Almeida,Angola,623334577,32.522,AFRICA,Stub
Hiša Marije Pomočnice,Slovenia,624468970,2.103,EUROPE,Stub
Đuro Šurmin,Croatia,625509885,4.02,EUROPE,Start
Suishō,Japan,626606789,125.96700000000001,ASIA,Stub
Nikolai Sulima,Russia,627001041,146.733,EUROPE,Stub
Khayelihle Mathaba,South Africa,627051151,59.628,AFRICA,Stub
Vilho Turunen,Finland,627432937,5.529,EUROPE,Stub
Vihtori Aromaa,Finland,628261896,5.529,EUROPE,Stub
Jonathan Wartiovaara,Finland,628268705,5.529,EUROPE,Stub
Arvi Turkka,Finland,628270736,5.529,EUROPE,Stub
Juho Heikkinen,Finland,628312759,5.529,EUROPE,Stub
Emanuel Aromaa,Finland,628379479,5.529,EUROPE,Stub
Jukka Lankila,Finland,628563978,5.529,EUROPE,Stub
Jalmari Malmi,Finland,628619000,5.529,EUROPE,Stub
Viljo Pousi,Finland,628766656,5.529,EUROPE,Stub
Jooseppi Kauranen,Finland,628988952,5.529,EUROPE,Stub
Sardar Aurang Zeb Khan,Pakistan,629562076,220.94,ASIA,Stub
Jeremiah Kasambala,Tanzania,629818376,59.733999999999995,AFRICA,Stub
Sofia Hjulgrén,Finland,630396351,5.529,EUROPE,Stub
Vihtori Viitanen,Finland,630396786,5.529,EUROPE,Stub
Tirso Neri,Philippines,630704768,109.581,ASIA,Stub
Cleisthenes (son of Sibyrtius),Greece,631437331,10.7,EUROPE,Stub
Demonax (lawmaker),Greece,631581752,10.7,EUROPE,Start
List of 2009 Canadian incumbents,Canada,632008524,38.19,NORTHERN AMERICA,Start
"Zero, None Of The Above",United Kingdom,632261377,67.16,EUROPE,Stub
Johan Franzén (politician),Finland,632447328,5.529,EUROPE,Stub
Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729,5.008,ASIA,Start
Liu Hongchang,China,634032715,1402.385,ASIA,B
Custos Rotulorum of County Wicklow,Ireland,635240253,5.003,EUROPE,Stub
Custos Rotulorum of County Cork,Ireland,635814126,5.003,EUROPE,Stub
Book:Two Political Biographies,India,636911471,1400.1,ASIA,Stub
Hegesippus (orator),Greece,637801253,10.7,EUROPE,Stub
Pheroze Sethna,India,638214719,1400.1,ASIA,Stub
Ibrahim Kassas,Tunisia,638362866,11.895999999999999,AFRICA,Stub
Dilip Sarkar,India,638377138,1400.1,ASIA,Stub
Gatluak Deng Garang,South Sudan,638571205,11.194,AFRICA,Stub
List of members of the National Assembly of Botswana 2009–14,Botswana,638599355,2.3169999999999997,AFRICA,Start
Aliyu Ibrahim Gebi,Nigeria,639021339,206.14,AFRICA,Stub
Wang Jichang,China,639061161,1402.385,ASIA,Start
Waldemir Moka,Brazil,639471171,211.812,LATIN AMERICA AND THE CARIBBEAN,Stub
Custos Rotulorum of County Waterford,Ireland,640014648,5.003,EUROPE,Stub
Lee Ja-kyum,"Korea, South",640214913,51.781000000000006,ASIA,Stub
Wei Huan-zi,China,640826254,1402.385,ASIA,Stub
O'Higgins Pioche,Chile,641422326,19.47,LATIN AMERICA AND THE CARIBBEAN,Stub
"List of Captains Regent of San Marino, 1500–1700",San Marino,643410335,34.0,EUROPE,Start
Eiler Grubbe,Denmark,643746000,5.829,EUROPE,Stub
Olli Zitting,Finland,644024203,5.529,EUROPE,Stub
Pierre Philibert de Blancheton,France,644041882,64.94,EUROPE,Stub
Luiza Xhuvani,Albania,644399375,2.838,EUROPE,Stub
Diego de Villalba y Toledo,Spain,645225697,47.635,EUROPE,Start
Jabulani Dube,Zimbabwe,645408814,14.863,AFRICA,Stub
Ministry of Economy and Finance (Benin),Benin,647450883,12.209000000000001,AFRICA,Stub
Gheorghe Barbu,Romania,647483021,19.241,EUROPE,Stub
Pan Yunduan,China,647832959,1402.385,ASIA,Stub
Otto Elfving,Finland,647893858,5.529,EUROPE,Stub
List of Sri Lankan politicians,Sri Lanka,648048611,21.936999999999998,ASIA,Stub
Fathema Ismail,India,648271473,1400.1,ASIA,Stub
Rafael Simancas,Spain,650458255,47.635,EUROPE,Stub
Adela Serra-Ty,Philippines,650462344,109.581,ASIA,Stub
Muhammad al-Ghafri,Syria,650494773,19.398,ASIA,Stub
Eneida de León,Uruguay,651785828,3.531,LATIN AMERICA AND THE CARIBBEAN,Stub
Read family of Delaware,United States,651856758,329.87800000000004,NORTHERN AMERICA,Stub
Rossy Barbour,Canada,653527941,38.19,NORTHERN AMERICA,Stub
Reginald Nii Bi Ayibonte,Ghana,653895210,31.073,AFRICA,Stub
